,timesteps,ep_reward,num_updates,episodes
0,200,-26,0,0
1,100,-28,0,1
2,200,-38,0,2
3,90,-14,0,3
4,200,-56,0,4
5,200,-38,0,5
6,200,-26,0,6
7,200,-34,0,7
8,200,-24,0,8
9,200,-42,0,9
10,200,-34,0,10
11,200,-2,1,11
12,200,4,0,12
13,200,-8,0,13
14,183,15,0,14
15,167,-1,0,15
16,200,-2,0,16
17,200,-2,0,17
18,200,4,0,18
19,200,12,0,19
20,200,-6,0,20
21,200,38,1,21
22,200,44,0,22
23,188,60,0,23
24,200,66,0,24
25,200,44,0,25
26,200,34,0,26
27,106,10,0,27
28,200,38,0,28
29,200,62,0,29
30,200,16,0,30
31,200,52,1,31
32,200,108,0,32
33,200,86,0,33
34,200,98,0,34
35,200,88,0,35
36,200,110,0,36
37,200,74,0,37
38,144,60,0,38
39,200,78,0,39
40,115,47,0,40
41,200,114,0,41
42,148,68,1,42
43,200,142,0,43
44,123,61,0,44
45,200,126,0,45
46,200,118,0,46
47,200,142,0,47
48,200,148,0,48
49,200,126,0,49
50,140,84,0,50
51,200,138,0,51
52,200,118,0,52
53,200,120,1,53
54,200,152,0,54
55,200,128,0,55
56,200,152,0,56
57,200,150,0,57
58,200,170,0,58
59,200,146,0,59
60,200,166,0,60
61,200,152,0,61
62,200,132,0,62
63,200,152,1,63
64,200,168,0,64
65,200,174,0,65
66,200,166,0,66
67,200,170,0,67
68,200,140,0,68
69,186,158,0,69
70,200,170,0,70
71,200,178,0,71
72,200,168,0,72
73,200,170,1,73
74,200,166,0,74
75,200,182,0,75
76,200,172,0,76
77,200,186,0,77
78,200,180,0,78
79,200,182,0,79
80,200,174,0,80
81,200,188,0,81
82,200,172,0,82
83,200,190,1,83
84,200,166,0,84
85,200,180,0,85
86,200,186,0,86
87,200,178,0,87
88,200,178,0,88
89,200,190,0,89
90,200,180,0,90
91,200,178,0,91
92,200,178,0,92
93,200,192,1,93
94,200,198,0,94
95,200,198,0,95
96,200,194,0,96
97,200,198,0,97
98,200,188,0,98
99,200,190,0,99
100,200,194,0,100
101,200,200,0,101
102,200,198,0,102
103,200,194,1,103
104,200,196,0,104
105,200,196,0,105
106,200,198,0,106
107,200,196,0,107
108,200,198,0,108
109,200,182,0,109
110,200,190,0,110
111,200,192,0,111
112,200,198,0,112
113,200,188,1,113
114,200,196,0,114
115,200,180,0,115
116,200,194,0,116
117,200,178,0,117
118,200,196,0,118
119,200,182,0,119
120,200,184,0,120
121,200,196,0,121
122,200,184,0,122
123,200,162,1,123
124,200,194,0,124
125,200,198,0,125
126,200,200,0,126
127,200,198,0,127
128,200,196,0,128
129,200,194,0,129
130,200,200,0,130
131,200,196,0,131
132,200,196,0,132
133,200,196,1,133
134,200,198,0,134
135,200,194,0,135
136,200,182,0,136
137,200,184,0,137
138,149,119,0,138
139,195,175,0,139
140,200,180,0,140
141,200,182,0,141
142,200,196,0,142
143,200,188,1,143
144,200,198,0,144
145,200,198,0,145
146,200,200,0,146
147,200,200,0,147
148,200,198,0,148
149,200,198,0,149
150,200,200,0,150
151,200,192,0,151
152,200,200,0,152
153,200,200,1,153
154,200,196,0,154
155,200,200,0,155
156,200,200,0,156
157,200,198,0,157
158,200,200,0,158
159,200,198,0,159
160,200,200,0,160
161,200,198,0,161
162,200,200,0,162
163,200,200,1,163
164,200,198,0,164
165,200,200,0,165
166,200,198,0,166
167,200,200,0,167
168,200,200,0,168
169,200,198,0,169
170,200,196,0,170
171,200,198,0,171
172,200,192,0,172
173,200,198,1,173
174,200,200,0,174
175,200,200,0,175
176,200,130,0,176
177,200,200,0,177
178,200,198,0,178
179,200,198,0,179
180,200,198,0,180
181,200,196,0,181
182,200,200,0,182
183,200,200,1,183
184,200,198,0,184
185,200,198,0,185
186,200,196,0,186
187,200,200,0,187
188,200,200,0,188
189,200,200,0,189
190,200,200,0,190
191,200,200,0,191
192,200,194,0,192
193,200,200,1,193
194,200,200,0,194
195,200,200,0,195
196,200,184,0,196
197,200,200,0,197
198,200,200,0,198
199,200,200,0,199
200,200,196,0,200
