,timesteps,ep_reward,num_updates,episodes
0,14,14.0,0,0
1,31,31.0,0,1
2,27,27.0,0,2
3,16,16.0,0,3
4,19,19.0,0,4
5,19,19.0,0,5
6,13,13.0,0,6
7,18,18.0,0,7
8,26,26.0,0,8
9,67,67.0,0,9
10,43,43.0,0,10
11,12,12.0,0,11
12,24,24.0,0,12
13,11,11.0,0,13
14,16,16.0,0,14
15,12,12.0,0,15
16,12,12.0,0,16
17,35,35.0,0,17
18,33,33.0,0,18
19,28,28.0,0,19
20,17,17.0,0,20
21,16,16.0,0,21
22,11,11.0,0,22
23,9,9.0,0,23
24,15,15.0,0,24
25,22,22.0,0,25
26,30,30.0,0,26
27,19,19.0,0,27
28,17,17.0,0,28
29,24,24.0,0,29
30,12,12.0,0,30
31,23,23.0,0,31
32,14,14.0,0,32
33,32,32.0,0,33
34,17,17.0,0,34
35,43,43.0,0,35
36,18,18.0,0,36
37,18,18.0,0,37
38,22,22.0,0,38
39,13,13.0,0,39
40,13,13.0,0,40
41,31,31.0,0,41
42,27,27.0,0,42
43,14,14.0,0,43
44,40,40.0,0,44
45,21,21.0,0,45
46,36,36.0,0,46
47,38,38.0,0,47
48,23,23.0,0,48
49,16,16.0,0,49
50,11,11.0,0,50
51,20,20.0,0,51
52,13,13.0,0,52
53,27,27.0,0,53
54,21,21.0,0,54
55,29,29.0,0,55
56,38,38.0,0,56
57,60,60.0,0,57
58,12,12.0,0,58
59,18,18.0,0,59
60,15,15.0,0,60
61,15,15.0,0,61
62,15,15.0,0,62
63,17,17.0,0,63
64,12,12.0,0,64
65,19,19.0,0,65
66,21,21.0,0,66
67,10,10.0,0,67
68,30,30.0,0,68
69,25,25.0,0,69
70,15,15.0,0,70
71,11,11.0,0,71
72,42,42.0,0,72
73,25,25.0,0,73
74,23,23.0,0,74
75,16,16.0,0,75
76,17,17.0,0,76
77,30,30.0,0,77
78,15,15.0,0,78
79,14,14.0,0,79
80,61,61.0,0,80
81,16,16.0,0,81
82,12,12.0,0,82
83,20,20.0,0,83
84,23,23.0,0,84
85,54,54.0,0,85
86,14,14.0,0,86
87,28,28.0,0,87
88,20,20.0,1,88
89,21,21.0,0,89
90,24,24.0,0,90
91,19,19.0,0,91
92,21,21.0,0,92
93,34,34.0,0,93
94,23,23.0,0,94
95,20,20.0,0,95
96,27,27.0,0,96
97,41,41.0,0,97
98,18,18.0,0,98
99,30,30.0,0,99
100,42,42.0,0,100
101,18,18.0,0,101
102,12,12.0,0,102
103,28,28.0,0,103
104,15,15.0,0,104
105,33,33.0,0,105
106,15,15.0,0,106
107,43,43.0,0,107
108,18,18.0,0,108
109,20,20.0,0,109
110,15,15.0,0,110
111,20,20.0,0,111
112,26,26.0,0,112
113,27,27.0,0,113
114,15,15.0,0,114
115,37,37.0,0,115
116,34,34.0,0,116
117,21,21.0,0,117
118,14,14.0,0,118
119,35,35.0,0,119
120,16,16.0,0,120
121,20,20.0,0,121
122,25,25.0,0,122
123,23,23.0,0,123
124,29,29.0,0,124
125,34,34.0,0,125
126,18,18.0,0,126
127,21,21.0,0,127
128,55,55.0,0,128
129,17,17.0,0,129
130,26,26.0,0,130
131,53,53.0,0,131
132,41,41.0,0,132
133,80,80.0,0,133
134,35,35.0,0,134
135,9,9.0,0,135
136,20,20.0,0,136
137,24,24.0,0,137
138,18,18.0,0,138
139,10,10.0,0,139
140,35,35.0,0,140
141,13,13.0,0,141
142,50,50.0,0,142
143,31,31.0,0,143
144,12,12.0,0,144
145,24,24.0,0,145
146,16,16.0,0,146
147,61,61.0,0,147
148,16,16.0,0,148
149,19,19.0,0,149
150,42,42.0,0,150
151,13,13.0,0,151
152,19,19.0,0,152
153,18,18.0,0,153
154,37,37.0,0,154
155,12,12.0,0,155
156,37,37.0,0,156
157,13,13.0,0,157
158,39,39.0,0,158
159,36,36.0,0,159
160,39,39.0,0,160
161,14,14.0,0,161
162,25,25.0,0,162
163,17,17.0,0,163
164,25,25.0,1,164
165,51,51.0,0,165
166,35,35.0,0,166
167,23,23.0,0,167
168,100,100.0,0,168
169,100,100.0,0,169
170,68,68.0,0,170
171,9,9.0,0,171
172,25,25.0,0,172
173,38,38.0,0,173
174,19,19.0,0,174
175,24,24.0,0,175
176,23,23.0,0,176
177,42,42.0,0,177
178,29,29.0,0,178
179,16,16.0,0,179
180,100,100.0,0,180
181,51,51.0,0,181
182,63,63.0,0,182
183,28,28.0,0,183
184,11,11.0,0,184
185,34,34.0,0,185
186,22,22.0,0,186
187,18,18.0,0,187
188,23,23.0,0,188
189,100,100.0,0,189
190,13,13.0,0,190
191,24,24.0,0,191
192,23,23.0,0,192
193,32,32.0,0,193
194,51,51.0,0,194
195,41,41.0,0,195
196,33,33.0,0,196
197,18,18.0,0,197
198,29,29.0,0,198
199,59,59.0,0,199
200,36,36.0,0,200
201,30,30.0,0,201
202,34,34.0,0,202
203,100,100.0,0,203
204,78,78.0,0,204
205,31,31.0,0,205
206,75,75.0,0,206
207,41,41.0,0,207
208,37,37.0,0,208
209,15,15.0,0,209
210,16,16.0,0,210
211,100,100.0,0,211
212,37,37.0,1,212
213,100,100.0,0,213
214,81,81.0,0,214
215,74,74.0,0,215
216,100,100.0,0,216
217,65,65.0,0,217
218,38,38.0,0,218
219,99,99.0,0,219
220,43,43.0,0,220
221,16,16.0,0,221
222,100,100.0,0,222
223,68,68.0,0,223
224,40,40.0,0,224
225,100,100.0,0,225
226,77,77.0,0,226
227,21,21.0,0,227
228,100,100.0,0,228
229,12,12.0,0,229
230,77,77.0,0,230
231,47,47.0,0,231
232,100,100.0,0,232
233,56,56.0,0,233
234,18,18.0,0,234
235,94,94.0,0,235
236,64,64.0,0,236
237,62,62.0,0,237
238,66,66.0,0,238
239,58,58.0,0,239
240,13,13.0,0,240
241,77,77.0,0,241
242,61,61.0,0,242
243,100,100.0,1,243
244,100,100.0,0,244
245,100,100.0,0,245
246,100,100.0,0,246
247,100,100.0,0,247
248,100,100.0,0,248
249,100,100.0,0,249
250,23,23.0,0,250
251,100,100.0,0,251
252,100,100.0,0,252
253,100,100.0,0,253
254,100,100.0,0,254
255,32,32.0,0,255
256,100,100.0,0,256
257,45,45.0,0,257
258,86,86.0,0,258
259,100,100.0,0,259
260,100,100.0,0,260
261,73,73.0,0,261
262,100,100.0,0,262
263,100,100.0,0,263
264,100,100.0,0,264
265,100,100.0,1,265
266,22,22.0,0,266
267,63,63.0,0,267
268,51,51.0,0,268
269,62,62.0,0,269
270,58,58.0,0,270
271,91,91.0,0,271
272,47,47.0,0,272
273,95,95.0,0,273
274,100,100.0,0,274
275,96,96.0,0,275
276,34,34.0,0,276
277,69,69.0,0,277
278,100,100.0,0,278
279,84,84.0,0,279
280,99,99.0,0,280
281,100,100.0,0,281
282,89,89.0,0,282
283,100,100.0,0,283
284,96,96.0,0,284
285,100,100.0,0,285
286,85,85.0,0,286
287,84,84.0,0,287
288,27,27.0,0,288
289,74,74.0,0,289
290,100,100.0,0,290
291,51,51.0,0,291
292,22,22.0,0,292
293,100,100.0,1,293
294,100,100.0,0,294
295,100,100.0,0,295
296,100,100.0,0,296
297,33,33.0,0,297
298,100,100.0,0,298
299,60,60.0,0,299
300,100,100.0,0,300
301,100,100.0,0,301
302,30,30.0,0,302
303,100,100.0,0,303
304,100,100.0,0,304
305,100,100.0,0,305
306,100,100.0,0,306
307,100,100.0,0,307
308,100,100.0,0,308
309,100,100.0,0,309
310,100,100.0,0,310
311,60,60.0,0,311
312,100,100.0,0,312
