,episode_length,ep_reward,episodes,total_step,average_return
0,20,2.0,99,2000,0.18
1,20,0.0,199,4000,-0.04
2,20,1.0,299,6000,0.18
3,20,0.0,399,8000,0.15
4,20,3.0,499,10000,0.51
5,20,0.0,599,12000,0.39
6,20,-1.0,699,14000,0.33
7,20,-3.0,799,16000,0.24
8,20,1.0,899,18000,0.22
9,20,1.0,999,20000,0.36
10,20,-1.0,1099,22000,0.4
11,20,0.0,1199,24000,0.27
12,20,2.0,1299,26000,0.43
13,20,3.0,1399,28000,0.44
14,20,1.0,1499,30000,0.44
15,20,2.0,1599,32000,0.46
16,20,2.0,1699,34000,0.61
17,20,1.0,1799,36000,0.51
18,20,-2.0,1899,38000,0.66
19,20,1.0,1999,40000,0.89
20,20,1.0,2099,42000,0.77
21,20,0.0,2199,44000,0.73
22,20,0.0,2299,46000,0.66
23,20,0.0,2399,48000,0.71
24,20,1.0,2499,50000,0.89
25,20,-1.0,2599,52000,0.8
26,20,1.0,2699,54000,0.83
27,20,2.0,2799,56000,0.85
28,20,2.0,2899,58000,0.98
29,20,1.0,2999,60000,0.75
30,20,0.0,3099,62000,0.78
31,20,2.0,3199,64000,1.05
32,20,1.0,3299,66000,0.8
33,20,1.0,3399,68000,0.99
34,20,2.0,3499,70000,0.99
35,20,1.0,3599,72000,1.08
36,20,1.0,3699,74000,1.04
37,20,1.0,3799,76000,0.65
38,20,1.0,3899,78000,0.96
39,20,-1.0,3999,80000,0.9
40,20,1.0,4099,82000,1.17
41,20,2.0,4199,84000,0.94
42,20,2.0,4299,86000,1.06
43,20,1.0,4399,88000,1.06
44,20,2.0,4499,90000,1.1
45,20,2.0,4599,92000,0.91
46,20,2.0,4699,94000,0.98
47,20,1.0,4799,96000,0.78
48,20,2.0,4899,98000,0.82
49,20,2.0,4999,100000,1.05
