,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,99,2000,0.35
1,20,1.0,199,4000,0.26
2,20,2.0,299,6000,0.08
3,20,1.0,399,8000,0.37
4,20,0.0,499,10000,0.25
5,20,0.0,599,12000,0.38
6,20,1.0,699,14000,0.24
7,20,0.0,799,16000,0.4
8,20,-1.0,899,18000,0.47
9,20,0.0,999,20000,0.42
10,20,1.0,1099,22000,0.38
11,20,1.0,1199,24000,0.48
12,20,0.0,1299,26000,0.43
13,20,0.0,1399,28000,0.45
14,20,-1.0,1499,30000,0.34
15,20,2.0,1599,32000,0.49
16,20,1.0,1699,34000,0.44
17,20,2.0,1799,36000,0.55
18,20,0.0,1899,38000,0.4
19,20,1.0,1999,40000,0.57
20,20,1.0,2099,42000,0.45
21,20,0.0,2199,44000,0.49
22,20,0.0,2299,46000,0.54
23,20,1.0,2399,48000,0.49
24,20,0.0,2499,50000,0.68
25,20,1.0,2599,52000,0.67
26,20,1.0,2699,54000,0.48
27,20,0.0,2799,56000,0.54
28,20,0.0,2899,58000,0.46
29,20,0.0,2999,60000,0.71
30,20,0.0,3099,62000,0.69
31,20,0.0,3199,64000,0.54
32,20,0.0,3299,66000,0.45
33,20,0.0,3399,68000,0.55
34,20,0.0,3499,70000,0.64
35,20,1.0,3599,72000,0.63
36,20,2.0,3699,74000,0.54
37,20,2.0,3799,76000,0.6
38,20,0.0,3899,78000,0.58
39,20,2.0,3999,80000,0.58
40,20,2.0,4099,82000,0.68
41,20,0.0,4199,84000,0.67
42,20,0.0,4299,86000,0.64
43,20,0.0,4399,88000,0.58
44,20,0.0,4499,90000,0.71
45,20,0.0,4599,92000,0.57
46,20,0.0,4699,94000,0.4
47,20,2.0,4799,96000,0.76
48,20,1.0,4899,98000,0.57
49,20,2.0,4999,100000,0.64
