,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,99,2000,-0.15
1,20,0.0,199,4000,-0.02
2,20,0.0,299,6000,0.06
3,20,0.0,399,8000,0.16
4,20,0.0,499,10000,0.21
5,20,0.0,599,12000,0.32
6,20,1.0,699,14000,0.33
7,20,1.0,799,16000,0.43
8,20,1.0,899,18000,0.36
9,20,1.0,999,20000,0.43
10,20,0.0,1099,22000,0.52
11,20,1.0,1199,24000,0.51
12,20,0.0,1299,26000,0.49
13,20,1.0,1399,28000,0.66
14,20,1.0,1499,30000,0.64
15,20,0.0,1599,32000,0.71
16,20,1.0,1699,34000,0.76
17,20,1.0,1799,36000,0.77
18,20,0.0,1899,38000,0.62
19,20,0.0,1999,40000,0.74
20,20,1.0,2099,42000,0.69
21,20,1.0,2199,44000,0.71
22,20,1.0,2299,46000,0.71
23,20,0.0,2399,48000,0.73
24,20,0.0,2499,50000,0.78
25,20,1.0,2599,52000,0.69
26,20,0.0,2699,54000,0.78
27,20,1.0,2799,56000,0.81
28,20,1.0,2899,58000,0.74
29,20,1.0,2999,60000,0.71
30,20,1.0,3099,62000,0.83
31,20,0.0,3199,64000,0.71
32,20,1.0,3299,66000,0.72
33,20,1.0,3399,68000,0.68
34,20,0.0,3499,70000,0.78
35,20,0.0,3599,72000,0.72
36,20,1.0,3699,74000,0.78
37,20,1.0,3799,76000,0.74
38,20,0.0,3899,78000,0.73
39,20,0.0,3999,80000,0.73
40,20,0.0,4099,82000,0.76
41,20,1.0,4199,84000,0.82
42,20,1.0,4299,86000,0.85
43,20,1.0,4399,88000,0.87
44,20,1.0,4499,90000,0.8
45,20,1.0,4599,92000,0.85
46,20,1.0,4699,94000,0.84
47,20,1.0,4799,96000,0.79
48,20,1.0,4899,98000,0.82
49,20,0.0,4999,100000,0.8
