,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,99,2000,-0.09
1,20,2.0,199,4000,0.05
2,20,1.0,299,6000,0.07
3,20,0.0,399,8000,0.16
4,20,0.0,499,10000,0.21
5,20,0.0,599,12000,0.22
6,20,1.0,699,14000,0.4
7,20,1.0,799,16000,0.52
8,20,0.0,899,18000,0.62
9,20,0.0,999,20000,0.53
10,20,-1.0,1099,22000,0.7
11,20,1.0,1199,24000,0.61
12,20,1.0,1299,26000,0.73
13,20,1.0,1399,28000,0.67
14,20,1.0,1499,30000,0.67
15,20,1.0,1599,32000,0.86
16,20,0.0,1699,34000,0.76
17,20,1.0,1799,36000,1.0
18,20,0.0,1899,38000,0.8
19,20,0.0,1999,40000,0.83
20,20,1.0,2099,42000,0.9
21,20,1.0,2199,44000,1.05
22,20,2.0,2299,46000,0.95
23,20,0.0,2399,48000,0.92
24,20,1.0,2499,50000,0.93
25,20,1.0,2599,52000,0.95
26,20,2.0,2699,54000,1.02
27,20,2.0,2799,56000,1.01
28,20,1.0,2899,58000,0.98
29,20,0.0,2999,60000,1.06
30,20,1.0,3099,62000,0.96
31,20,1.0,3199,64000,1.22
32,20,0.0,3299,66000,1.02
33,20,2.0,3399,68000,0.98
34,20,0.0,3499,70000,0.97
35,20,1.0,3599,72000,0.99
36,20,1.0,3699,74000,1.0
37,20,1.0,3799,76000,0.96
38,20,1.0,3899,78000,1.23
39,20,0.0,3999,80000,1.06
40,20,0.0,4099,82000,1.06
41,20,1.0,4199,84000,1.17
42,20,1.0,4299,86000,0.95
43,20,2.0,4399,88000,1.14
44,20,2.0,4499,90000,1.25
45,20,0.0,4599,92000,1.03
46,20,1.0,4699,94000,1.38
47,20,1.0,4799,96000,1.34
48,20,1.0,4899,98000,1.14
49,20,1.0,4999,100000,1.13
