,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,99,2000,-0.06
1,20,0.0,199,4000,-0.05
2,20,0.0,299,6000,0.03
3,20,0.0,399,8000,0.02
4,20,0.0,499,10000,0.12
5,20,1.0,599,12000,0.27
6,20,0.0,699,14000,0.36
7,20,0.0,799,16000,0.25
8,20,2.0,899,18000,0.37
9,20,0.0,999,20000,0.24
10,20,0.0,1099,22000,0.38
11,20,0.0,1199,24000,0.51
12,20,0.0,1299,26000,0.44
13,20,1.0,1399,28000,0.53
14,20,1.0,1499,30000,0.72
15,20,0.0,1599,32000,0.66
16,20,1.0,1699,34000,0.62
17,20,2.0,1799,36000,0.8
18,20,2.0,1899,38000,0.85
19,20,2.0,1999,40000,0.89
20,20,1.0,2099,42000,0.71
21,20,0.0,2199,44000,0.83
22,20,1.0,2299,46000,0.89
23,20,1.0,2399,48000,0.84
24,20,1.0,2499,50000,0.95
25,20,0.0,2599,52000,0.94
26,20,2.0,2699,54000,0.86
27,20,1.0,2799,56000,1.1
28,20,0.0,2899,58000,1.04
29,20,2.0,2999,60000,0.97
30,20,1.0,3099,62000,1.1
31,20,2.0,3199,64000,1.18
32,20,1.0,3299,66000,1.05
33,20,0.0,3399,68000,1.15
34,20,2.0,3499,70000,1.11
35,20,2.0,3599,72000,1.08
36,20,1.0,3699,74000,1.24
37,20,1.0,3799,76000,1.15
38,20,1.0,3899,78000,1.08
39,20,1.0,3999,80000,1.1
40,20,1.0,4099,82000,1.31
41,20,2.0,4199,84000,1.07
42,20,2.0,4299,86000,1.18
43,20,1.0,4399,88000,1.26
44,20,2.0,4499,90000,1.3
45,20,1.0,4599,92000,1.2
46,20,2.0,4699,94000,1.22
47,20,2.0,4799,96000,1.29
48,20,1.0,4899,98000,1.3
49,20,2.0,4999,100000,1.3
